FULL NAME,TEAM,PPGPointsPoints per game.
Marc Gasol,Tor,9.4
Danny Green,Tor,6.9
Serge Ibaka,Tor,9.4
Kawhi Leonard,Tor,30.5
Kyle Lowry,Tor,15
Pascal Siakam,Tor,19
Fred VanVleet,Tor,8
Norman Powell,Tor,6.5
Stephen Curry,Gol,28.2
Draymond Green,Gol,13.3
Shaun Livingston,Gol,4
Kevon Looney,Gol,7.1
Alfonzo McKinnie,Gol,3
Klay Thompson,Gol,20.7
Al-Farouq Aminu,Por,7.4
Zach Collins,Por,6.8
Seth Curry,Por,5.6
Maurice Harkless,Por,8.4
Rodney Hood,Por,9.9
Enes Kanter,Por,11.4
Damian Lillard,Por,26.9
CJ McCollum,Por,24.7
Evan Turner,Por,2.7
Andre Iguodala,Gol,9.8
Giannis Antetokounmpo,Mil,25.5
Eric Bledsoe,Mil,13.7
Pat Connaughton,Mil,6.2
George Hill,Mil,11.5
Ersan Ilyasova,Mil,6.8
Brook Lopez,Mil,11.2
Khris Middleton,Mil,16.9
Will Barton,Den,9.1
Malik Beasley,Den,8.1
Torrey Craig,Den,6.6
Gary Harris,Den,14.2
Nikola Jokic,Den,25.1
Paul Millsap,Den,14.6
Monte Morris,Den,5.4
Jamal Murray,Den,21.3
Mason Plumlee,Den,4.6
Andrew Bogut,Gol,2.7
Nikola Mirotic,Mil,9.5
Jodie Meeks,Tor,1.6
Jonas Jerebko,Gol,2.1
Jimmy Butler,Phi,19.4
Tobias Harris,Phi,15.5
JJ Redick,Phi,13.4
Ben Simmons,Phi,13.9
Jordan Bell,Gol,2.7
Quinn Cook,Gol,4.2
Kevin Durant,Gol,32.3
Clint Capela,Hou,9.7
Eric Gordon,Hou,17.8
Gerald Green,Hou,3.5
James Harden,Hou,31.6
Chris Paul,Hou,17
PJ Tucker,Hou,11.4
Joel Embiid,Phi,20.2
James Ennis III,Phi,7.5
Tim Frazier,Mil,1.9
Meyers Leonard,Por,7.7
Sterling Brown,Mil,4.1
Jonah Bolden,Phi,1.6
Boban Marjanovic,Phi,6.4
Greg Monroe,Phi,4
Austin Rivers,Hou,7.4
Mike Scott,Phi,5.6
T.J. McConnell,Phi,2.7
Aron Baynes,Bos,2.1
Jaylen Brown,Bos,13.9
Gordon Hayward,Bos,9.6
Al Horford,Bos,13.9
Kyrie Irving,Bos,21.3
Marcus Morris,Bos,13.7
Terry Rozier,Bos,6.4
Jayson Tatum,Bos,15.2
Malcolm Miller,Tor,0.8
Tony Snell,Mil,0.6
Iman Shumpert,Hou,3.6
D.J. Wilson,Mil,2.4
Eric Moreland,Tor,0.3
Patrick McCaw,Tor,0.5
LaMarcus Aldridge,San,20
Marco Belinelli,San,5.9
DeMar DeRozan,San,22
Bryn Forbes,San,10.7
Rudy Gay,San,11.1
Patty Mills,San,5.3
Jakob Poeltl,San,7.3
Derrick White,San,15.1
Danuel House Jr.,Hou,4.9
Daniel Theis,Bos,1.7
Jonathon Simmons,Phi,3.6
Nene,Hou,3.9
Jeremy Lin,Tor,1.1
Malcolm Brogdon,Mil,13
Patrick Beverley,Lac,9.8
Danilo Gallinari,Lac,19.8
Shai Gilgeous-Alexander,Lac,13.7
JaMychal Green,Lac,11
Montrezl Harrell,Lac,18.3
Landry Shamet,Lac,7.7
Garrett Temple,Lac,2.3
Lou Williams,Lac,21.7
Lonnie Walker IV,San,1
Kenneth Faried,Hou,4
Semi Ojeleye,Bos,2.2
Jake Layman,Por,0.8
Jarrett Allen,Bro,11
DeMarre Carroll,Bro,6.6
Spencer Dinwiddie,Bro,14.6
Treveon Graham,Bro,1.4
Joe Harris,Bro,8.8
Caris LeVert,Bro,21
D'Angelo Russell,Bro,19.4
Davis Bertans,San,3.2
D.J. Augustin,Orl,12.8
Khem Birch,Orl,5.2
Michael Carter-Williams,Orl,6.6
Evan Fournier,Orl,12.4
Aaron Gordon,Orl,15.2
Jonathan Isaac,Orl,6.6
Wes Iwundu,Orl,4.8
Terrence Ross,Orl,13.2
Nikola Vucevic,Orl,11.2
Steven Adams,Okc,11.8
Raymond Felton,Okc,2.2
Terrance Ferguson,Okc,5
Paul George,Okc,28.6
Jerami Grant,Okc,11.6
Markieff Morris,Okc,3.8
Nerlens Noel,Okc,4.8
Dennis Schroder,Okc,13.8
Russell Westbrook,Okc,22.8
Jae Crowder,Uta,11.4
Derrick Favors,Uta,11.8
Rudy Gobert,Uta,11.2
Joe Ingles,Uta,6.4
Donovan Mitchell,Uta,21.4
Georges Niang,Uta,4.4
Royce O'Neale,Uta,10.6
Ricky Rubio,Uta,15.4
Jerome Robinson,Lac,3.6
Dante Cunningham,San,1.2
Donatas Motiejunas,San,2.6
Quincy Pondexter,San,0
Juancho Hernangomez,Den,0.6
Anfernee Simons,Por,0.8
Jacob Evans,Gol,0.7
Wilson Chandler,Lac,3.8
Bojan Bogdanovic,Ind,18
Darren Collison,Ind,12
Tyreke Evans,Ind,15.3
Cory Joseph,Ind,7.5
Wesley Matthews,Ind,7
Domantas Sabonis,Ind,8.5
Myles Turner,Ind,9.8
Thaddeus Young,Ind,10.5
Bruce Brown,Det,3.3
Andre Drummond,Det,14.3
Wayne Ellington,Det,7.8
Langston Galloway,Det,7.8
Reggie Jackson,Det,17.8
Luke Kennard,Det,15
Kyle Korver,Uta,2.5
Thon Maker,Det,5.5
Ish Smith,Det,6
Rodions Kurucs,Bro,6.3
Sindarius Thornwell,Lac,1.3
Ivica Zubac,Lac,5
Jared Dudley,Bro,3
Rondae Hollis-Jefferson,Bro,13.3
Thabo Sefolosha,Uta,1.3
Furkan Korkmaz,Phi,4.8
Brad Wanamaker,Bos,2.5
Guerschon Yabusele,Bos,2
Amir Johnson,Phi,2
Ed Davis,Bro,5.3
Doug McDermott,Ind,2
Aaron Holiday,Ind,1.7
Raul Neto,Uta,0.7
Deonte Burton,Okc,0.7
Abdel Nader,Okc,0.7
Jose Calderon,Det,0
Glenn Robinson III,Det,4.3
Khyri Thomas,Det,4.7
Shabazz Napier,Bro,8
Theo Pinson,Bro,3
Melvin Frazier Jr.,Orl,1.7
Jerian Grant,Orl,1.7
Jarell Martin,Orl,3.3
Jarred Vanderbilt,Den,0
Robert Williams III,Bos,1.3
Trey Lyles,Den,0
Skal Labissiere,Por,0.7
Damian Jones,Gol,0.8
DeMarcus Cousins,Gol,7.6
Grayson Allen,Uta,4.5
Ekpe Udoh,Uta,0
Tyrone Wallace,Lac,2
Zaza Pachulia,Det,2.5
Gary Clark,Hou,0
Isaiah Hartenstein,Hou,2
Blake Griffin,Det,24.5
Dzanan Musa,Bro,2
Zhaire Smith,Phi,0
Marcus Smart,Bos,3.5
Chris Boucher,Tor,2.5
TJ Leaf,Ind,2
Jon Leuer,Det,2
Kyle O'Quinn,Ind,0
Edmond Sumner,Ind,0
